location,district,rooms,size,level,max_levels,price
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,76,5,5,60500
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,80,2,4,68000
"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,72,5,5,41500
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,3,12,55000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,4,4,44000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,80,3,4,52500
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72,6,9,43000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,65,1,4,80000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,63,1,5,42000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70,3,4,47000
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,102,7,12,88784
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,78,2,4,65000
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100,1,4,97000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,34,1,4,28500
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,42,2,4,34500
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80,4,5,51000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,90,1,12,51000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45,2,4,48000
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70,5,5,40000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,96,7,9,67000
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80,4,5,68000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63,1,4,40500
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,56,4,5,54000
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,52,1,4,36000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,98,2,4,68000
"город Ташкент, Чиланзарский район, Бешёгоч",Чиланзарский,3,96,9,9,63000
"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,4,93,4,4,63500
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,2,60,9,9,49500
"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-2",Чиланзарский,5,82,4,4,70000
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,5,120,9,9,52000
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,110,3,3,91000
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,4,95,2,4,83000
"город Ташкент, Учтепинский район, 4-й проезд Курувчи",Учтепинский,2,56,1,4,40500
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68,3,4,48000
"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,57,3,4,42000
"город Ташкент, Яшнободский район, Жаркургон",Яшнободский,1,46,11,11,19765
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45,4,4,34500
"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,2,40,1,9,40000
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95,5,5,50000
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,53,1,9,68000
"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,72,4,9,41500
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,65,4,5,41500
"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Юнусабадский,4,82,1,4,86000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,3,9,25500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,4,4,31500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,1,4,26500
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,1,20,3,9,14500
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,45,4,4,45000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,46,2,5,30000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50,2,4,34500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,2,4,27000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,80,6,9,59500
"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,3,72,3,9,48000
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,78,5,5,47299
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,46,4,5,37000
"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60,2,4,38000
"город Ташкент, Олмазорский район, 15-й проезд Сагбан",Олмазорский,2,58,5,9,29500
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,70,2,7,56000
"город Ташкент, Яккасарайский район, 1-й проезд Мукими",Яккасарайский,2,68,6,9,45000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,3,5,61500
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68,5,5,46500
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,4,12,51000
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90,5,9,58400
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,60,5,5,47000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,80,5,5,52500
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,74,3,5,50000
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,2,48,2,5,41500
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,4,94,9,9,45000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,65,4,9,47500
"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,85,3,4,52500
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,1,42,5,5,26000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,110,3,4,105000
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,3,70,4,4,42000
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,68,2,5,53500
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000
"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,20,3,3,12500
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110,4,7,107000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46,3,4,35000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,125,5,5,70000
"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,72,18,19,55000
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,64.67,7,9,39414
"город Ташкент, Юнусабадский район, Чинабад",Юнусабадский,2,70,4,9,60000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,50,7,9,37000
"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,2,51,2,4,49000
"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,1,22,1,2,18000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,54,1,4,42500
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,30,3,5,34500
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,42,5,9,37000
"город Ташкент, Яккасарайский район, Тафаккур",Яккасарайский,3,70,2,4,70000
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,3,68,2,4,45800
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,4,24000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,1,52,1,4,58000
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,72,4,4,55500
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,76,2,4,68000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48,4,4,31000
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,66,3,9,47000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,60,3,5,47000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,37,1,4,41000
"город Ташкент, Мирзо-Улугбекский район, Муминова",Мирзо-Улугбекский,1,40,3,4,24000
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,61,1,4,55000
"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Чиланзарский,1,32,2,4,28500
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,65,4,4,42000
"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,3,66,2,5,67000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,70,4,4,46500
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,66,4,4,50500
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,1,4,40000
"город Ташкент, Яшнободский район, 1-й проезд Иззат",Яшнободский,1,37,5,8,13071
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,69.65,4,9,45188
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,88,4,5,53000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38,2,5,25600
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,61,6,9,52000
"город Ташкент, Мирзо-Улугбекский район, Навнихол",Мирзо-Улугбекский,2,45,3,7,44000
"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,69,2,9,40000
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,55.13,5,9,35226
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,67,4,4,54000
"город Ташкент, Шайхантахурский район, 1-й проезд Генерала Узакова",Шайхантахурский,1,38,5,5,22500
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,67,2,4,36500
"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,2,54,4,9,40000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,2,58,1,9,35000
"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,4,100,5,8,142000
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,4,90,4,5,52000
"город Ташкент, Олмазорский район, ул  ХУРРИЯТ 75",Олмазорский,3,91,3,3,85000
"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,4,111,7,8,110000
"город Ташкент, Сергелийский район, Сергели 6 А дом 9 кв 53",Сергелийский,2,54,6,7,36000
"город Ташкент, Яшнободский район, жилой комплекс У.М. Шахидов 58-й городок",Яшнободский,3,69,5,5,52000
"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,5,107,5,5,50000
"город Ташкент, Мирзо-Улугбекский район, Массив А. Югнакий",Мирзо-Улугбекский,3,80,2,5,55000
"город Ташкент, Юнусабадский район, Юнусабад 4 квартал",Юнусабадский,2,63,5,9,42000
"город Ташкент, Мирабадский район, Жемчуг",Мирабадский,3,74,5,16,69000
"город Ташкент, Яшнободский район, 40 лет тузел-3 Франция",Яшнободский,2,58,5,5,28900
"город Ташкент, Мирзо-Улугбекский район, Паркентский",Мирзо-Улугбекский,2,62,9,9,34000
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,3,107,2,8,85000
"город Ташкент, Олмазорский район, ТашПИ",Олмазорский,1,40.41,2,4,25000
"город Ташкент, Чиланзарский район, Мирзо Улуғбек метро",Чиланзарский,2,54,2,4,39000
"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,1,40,1,4,60000
"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,50,1,5,36500
"город Ташкент, Яшнободский район, Мавлоно Риёзи",Яшнободский,3,75,5,9,42000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,84,7,8,85000
"город Ташкент, Мирзо-Улугбекский район, Ирригатор",Мирзо-Улугбекский,3,117,2,5,125000
"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,3,70,5,5,37000
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,1,47,2,9,42000
"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,56,2,5,36000
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,42,3,9,28000
"город Ташкент, Чиланзарский район",Чиланзарский,2,60,5,9,34000
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,32,2,5,28500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,28500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,34500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,1,4,34500
"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,1,42,1,5,25500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,43500
"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,72,7,9,63000
"город Ташкент, Яшнободский район, Городок Авиастроителей-4",Яшнободский,3,80,1,4,39999
"город Ташкент, Чиланзарский район, Кошчинар",Чиланзарский,1,33,2,4,24500
"город Ташкент, Юнусабадский район, Улица Янги Юнусобод",Юнусабадский,2,61,3,5,41000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,187,2,5,210000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63,5,5,36000
"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,60,5,5,34000
"город Ташкент, Чиланзарский район, Торговый центр",Чиланзарский,1,29,2,4,23000
"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,63,5,5,36000
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,48,4,5,28500
"город Ташкент, Мирзо-Улугбекский район, Массив ТТЗ-4",Мирзо-Улугбекский,1,11,3,9,7500
"город Ташкент, Чиланзарский район, Корзинка",Чиланзарский,2,45,4,4,47000
"город Ташкент, Олмазорский район, обводная  Нурафшон",Олмазорский,4,122,5,5,95000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42,2,4,44000
"город Ташкент, Мирзо-Улугбекский район, Шастри",Мирзо-Улугбекский,2,50,1,4,45000
"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,5,100,4,4,48000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,60,4,4,32000
"город Ташкент, Яккасарайский район, Баходыра",Яккасарайский,3,119,3,9,Договорная
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,50,2,4,47000
"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,78,5,9,70500
"город Ташкент, Яккасарайский район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Яккасарайский,4,164,5,6,170000
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60,3,5,30500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,4,26000
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,3,70,4,4,37500
"город Ташкент, Чиланзарский район, Метро Мирзо Улугбек",Чиланзарский,1,35,1,5,26500
"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,47,2,4,32000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,2,5,26500
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,2,50,2,5,34500
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,52,2,4,36500
"город Ташкент, Яшнободский район, Оханграбо",Яшнободский,2,46,2,4,24500
"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,92,3,9,42500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,70,1,4,46000
"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,3,70,2,4,38500
"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,60,7,8,36000
"город Ташкент, Мирзо-Улугбекский район, Буз 2",Мирзо-Улугбекский,2,55,3,5,35000
"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,63,4,9,55500
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89,4,12,81772
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,55,1,12,50533
"город Ташкент, Мирзо-Улугбекский район, Ул.Кора Ниязова",Мирзо-Улугбекский,3,100,2,6,119000
"город Ташкент, Мирзо-Улугбекский район, Ахмад Югнаки",Мирзо-Улугбекский,4,208,2,3,93000
"город Ташкент, Чиланзарский район, Учтепинский район массив Чиланзар 11-й квартал",Чиланзарский,1,35,1,4,23800
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44,3,4,32900
"город Ташкент, Янгихаётский район, Сергели 9а",Янгихаётский,2,61,3,7,36000
"город Ташкент, Яшнободский район, Массив Риёзи",Яшнободский,4,100,2,9,65000
"город Ташкент, Чиланзарский район, Чиланзар 8 квартал",Чиланзарский,1,35,1,4,29800
"город Ташкент, Мирзо-Улугбекский район, Газалкент",Мирзо-Улугбекский,4,86,3,5,63000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,3,100,1,5,80000
"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Олмазорский,5,110,5,5,63500
"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Мирабадский,3,75,6,9,110000
"город Ташкент, Олмазорский район, ц-17, ц-18 Себзар (ц-17, ц-18) ",Олмазорский,3,70,1,5,62000
"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,70,4,5,36999
"город Ташкент, Яккасарайский район, 1-й проезд Абдуллы Каххара",Яккасарайский,3,150,3,6,170000
"город Ташкент, Сергелийский район, 6А",Сергелийский,2,56.10,7,7,37000
"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,4,83,3,5,54000
"город Ташкент, Учтепинский район, Зангиота",Учтепинский,2,49,4,4,23000
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46,2,4,38500
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46,4,4,36200
"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,3,68,4,4,45000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,1,5,45000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76,4,4,43000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,1,42,2,5,26000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,55,1,4,67000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76,5,5,45500
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,49,2,6,47000
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,4,80,2,4,70000
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,5,142,5,5,120000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,3,60,3,4,44000
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,72,4,5,47000
"город Ташкент, Мирабадский район, 7-й проезд Мироншаха",Мирабадский,4,115,6,9,84000
"город Ташкент, Яшнободский район, 1-й переулок Бойкургон",Яшнободский,4,100,2,3,77000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63,5,5,35000
"город Ташкент, Мирзо-Улугбекский район, Сайрам",Мирзо-Улугбекский,3,66,3,5,56000
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,70,5,5,46500
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,62,5,5,35000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,2,50,1,4,34000
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,3,78,4,4,56000
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,62,2,9,63000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,8,350,2,12,260000
"город Ташкент, Яшнободский район, 2-й проезд Авиасозлар",Яшнободский,3,63,4,4,40000
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,91,1,5,75000
"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,81,6,9,54900
"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,4,86,3,4,42000
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,2,54,3,5,54500
"город Ташкент, Мирабадский район, 7-й проезд Мироншаха",Мирабадский,3,90,3,5,105000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,40,2,5,37000
"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,1,45,5,5,24000
"город Ташкент, Олмазорский район, Малая кольцевая дорога",Олмазорский,3,89.55,7,9,40000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,92,3,5,67000
"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,3,100,3,4,1000
"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,4,95,1,4,77000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,4,102,4,9,65000
"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,65,5,9,31300
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,62,5,5,33500
"город Ташкент, Олмазорский район, Каракамыш-2/4",Олмазорский,2,56,3,5,38500
"город Ташкент, Мирзо-Улугбекский район, 2-й Паркентский проезд",Мирзо-Улугбекский,2,59,2,8,41500
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,96,6,9,64500
"город Ташкент, Яшнободский район, 2-й проезд Иззат",Яшнободский,1,37,4,8,13075
"город Ташкент, Яккасарайский район, Мухандислар",Яккасарайский,2,70,8,9,48000
"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,2,78,4,8,77000
"город Ташкент, Яккасарайский район, Юсуфа Хос Ходжиба",Яккасарайский,4,145,7,8,115000
"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,3,100,2,5,128000
