,district,rooms,size,level,max_levels,price
78,Чиланзарский,1,42.0,3,9,25500.0
79,Чиланзарский,2,54.0,4,4,31500.0
80,Чиланзарский,1,42.0,1,4,26500.0
81,Учтепинский,1,20.0,3,9,14500.0
82,Чиланзарский,2,45.0,4,4,45000.0
83,Чиланзарский,1,46.0,2,5,30000.0
84,Чиланзарский,2,50.0,2,4,34500.0
85,Чиланзарский,1,36.0,2,4,27000.0
86,Учтепинский,4,80.0,6,9,59500.0
87,Учтепинский,3,72.0,3,9,48000.0
88,Учтепинский,4,78.0,5,5,47299.0
89,Чиланзарский,2,46.0,4,5,37000.0
90,Чиланзарский,2,60.0,2,4,38000.0
91,Олмазорский,2,58.0,5,9,29500.0
92,Чиланзарский,2,70.0,2,7,56000.0
93,Яккасарайский,2,68.0,6,9,45000.0
94,Учтепинский,4,100.0,3,5,61500.0
95,Чиланзарский,3,68.0,5,5,46500.0
96,Учтепинский,3,70.0,4,12,51000.0
97,Чиланзарский,3,90.0,5,9,58400.0
98,Чиланзарский,3,60.0,5,5,47000.0
99,Учтепинский,4,80.0,5,5,52500.0
100,Учтепинский,3,74.0,3,5,50000.0
101,Чиланзарский,2,48.0,2,5,41500.0
102,Чиланзарский,4,94.0,9,9,45000.0
103,Учтепинский,3,65.0,4,9,47500.0
104,Чиланзарский,4,85.0,3,4,52500.0
105,Учтепинский,1,42.0,5,5,26000.0
106,Чиланзарский,4,110.0,3,4,105000.0
107,Учтепинский,3,70.0,4,4,42000.0
108,Чиланзарский,3,68.0,2,5,53500.0
109,Яккасарайский,2,48.0,5,9,23000.0
110,Яшнободский,1,20.0,3,3,12500.0
111,Мирабадский,3,110.0,4,7,107000.0
112,Чиланзарский,2,46.0,3,4,35000.0
113,Чиланзарский,4,125.0,5,5,70000.0
114,Мирзо-Улугбекский,2,72.0,18,19,55000.0
115,Мирзо-Улугбекский,2,64.67,7,9,39414.0
116,Юнусабадский,2,70.0,4,9,60000.0
117,Юнусабадский,1,50.0,7,9,37000.0
118,Мирзо-Улугбекский,2,51.0,2,4,49000.0
119,Мирзо-Улугбекский,1,22.0,1,2,18000.0
120,Чиланзарский,2,54.0,1,4,42500.0
121,Чиланзарский,1,30.0,3,5,34500.0
122,Чиланзарский,1,42.0,5,9,37000.0
123,Яккасарайский,3,70.0,2,4,70000.0
124,Шайхантахурский,3,68.0,2,4,45800.0
125,Чиланзарский,1,30.0,4,4,24000.0
126,Учтепинский,1,52.0,1,4,58000.0
127,Чиланзарский,4,72.0,4,4,55500.0
128,Чиланзарский,4,76.0,2,4,68000.0
129,Учтепинский,2,48.0,4,4,31000.0
130,Чиланзарский,2,66.0,3,9,47000.0
131,Чиланзарский,3,60.0,3,5,47000.0
132,Чиланзарский,2,37.0,1,4,41000.0
133,Мирзо-Улугбекский,1,40.0,3,4,24000.0
134,Юнусабадский,2,61.0,1,4,55000.0
135,Чиланзарский,1,32.0,2,4,28500.0
136,Чиланзарский,3,65.0,4,4,42000.0
137,Учтепинский,3,66.0,2,5,67000.0
138,Чиланзарский,3,70.0,4,4,46500.0
139,Чиланзарский,3,66.0,4,4,50500.0
140,Учтепинский,3,65.0,1,4,40000.0
141,Яшнободский,1,37.0,5,8,13071.0
142,Мирзо-Улугбекский,2,69.65,4,9,45188.0
143,Учтепинский,4,88.0,4,5,53000.0
144,Яккасарайский,1,38.0,2,5,25600.0
145,Мирабадский,2,61.0,6,9,52000.0
146,Мирзо-Улугбекский,2,45.0,3,7,44000.0
147,Сергелийский,3,69.0,2,9,40000.0
148,Мирзо-Улугбекский,2,55.13,5,9,35226.0
149,Чиланзарский,3,67.0,4,4,54000.0
150,Шайхантахурский,1,38.0,5,5,22500.0
151,Мирзо-Улугбекский,2,67.0,2,4,36500.0
152,Яккасарайский,2,54.0,4,9,40000.0
153,Чиланзарский,2,58.0,1,9,35000.0
154,Мирабадский,4,100.0,5,8,142000.0
155,Чиланзарский,4,90.0,4,5,52000.0
156,Олмазорский,3,91.0,3,3,85000.0
157,Шайхантахурский,4,111.0,7,8,110000.0
158,Сергелийский,2,54.0,6,7,36000.0
159,Яшнободский,3,69.0,5,5,52000.0
160,Юнусабадский,5,107.0,5,5,50000.0
161,Мирзо-Улугбекский,3,80.0,2,5,55000.0
162,Юнусабадский,2,63.0,5,9,42000.0
163,Мирабадский,3,74.0,5,16,69000.0
164,Яшнободский,2,58.0,5,5,28900.0
165,Мирзо-Улугбекский,2,62.0,9,9,34000.0
166,Мирзо-Улугбекский,3,107.0,2,8,85000.0
167,Олмазорский,1,40.41,2,4,25000.0
168,Чиланзарский,2,54.0,2,4,39000.0
169,Мирзо-Улугбекский,1,40.0,1,4,60000.0
170,Мирзо-Улугбекский,2,50.0,1,5,36500.0
171,Яшнободский,3,75.0,5,9,42000.0
172,Мирзо-Улугбекский,3,84.0,7,8,85000.0
173,Мирзо-Улугбекский,3,117.0,2,5,125000.0
174,Мирзо-Улугбекский,3,70.0,5,5,37000.0
175,Мирзо-Улугбекский,1,47.0,2,9,42000.0
176,Чиланзарский,2,56.0,2,5,36000.0
177,Чиланзарский,1,42.0,3,9,28000.0
178,Чиланзарский,2,60.0,5,9,34000.0
179,Чиланзарский,1,32.0,2,5,28500.0
180,Чиланзарский,1,42.0,2,5,28500.0
181,Чиланзарский,2,60.0,2,9,34500.0
182,Чиланзарский,2,54.0,1,4,34500.0
183,Чиланзарский,1,42.0,1,5,25500.0
184,Чиланзарский,2,60.0,2,9,43500.0
185,Мирабадский,2,72.0,7,9,63000.0
186,Яшнободский,3,80.0,1,4,39999.0
187,Чиланзарский,1,33.0,2,4,24500.0
188,Юнусабадский,2,61.0,3,5,41000.0
189,Мирзо-Улугбекский,4,187.0,2,5,210000.0
190,Мирзо-Улугбекский,2,63.0,5,5,36000.0
191,Олмазорский,2,60.0,5,5,34000.0
192,Чиланзарский,1,29.0,2,4,23000.0
193,Мирзо-Улугбекский,2,63.0,5,5,36000.0
194,Учтепинский,2,48.0,4,5,28500.0
195,Мирзо-Улугбекский,1,11.0,3,9,7500.0
196,Чиланзарский,2,45.0,4,4,47000.0
197,Олмазорский,4,122.0,5,5,95000.0
198,Юнусабадский,1,42.0,2,4,44000.0
199,Мирзо-Улугбекский,2,50.0,1,4,45000.0
200,Мирзо-Улугбекский,5,100.0,4,4,48000.0
201,Мирзо-Улугбекский,2,60.0,4,4,32000.0
202,Яккасарайский,2,50.0,2,4,47000.0
203,Мирзо-Улугбекский,3,78.0,5,9,70500.0
204,Яккасарайский,4,164.0,5,6,170000.0
205,Мирзо-Улугбекский,2,60.0,3,5,30500.0
206,Чиланзарский,1,42.0,2,4,26000.0
207,Чиланзарский,3,70.0,4,4,37500.0
208,Чиланзарский,1,35.0,1,5,26500.0
209,Чиланзарский,2,47.0,2,4,32000.0
210,Чиланзарский,1,36.0,2,5,26500.0
211,Чиланзарский,2,50.0,2,5,34500.0
212,Чиланзарский,2,52.0,2,4,36500.0
213,Яшнободский,2,46.0,2,4,24500.0
214,Чиланзарский,3,92.0,3,9,42500.0
215,Чиланзарский,3,70.0,1,4,46000.0
216,Юнусабадский,3,70.0,2,4,38500.0
217,Мирзо-Улугбекский,2,60.0,7,8,36000.0
218,Мирзо-Улугбекский,2,55.0,3,5,35000.0
219,Мирзо-Улугбекский,2,63.0,4,9,55500.0
220,Яккасарайский,2,89.0,4,12,81772.0
221,Яккасарайский,1,55.0,1,12,50533.0
222,Мирзо-Улугбекский,3,100.0,2,6,119000.0
223,Мирзо-Улугбекский,4,208.0,2,3,93000.0
224,Чиланзарский,1,35.0,1,4,23800.0
225,Чиланзарский,2,44.0,3,4,32900.0
226,Янгихаётский,2,61.0,3,7,36000.0
227,Яшнободский,4,100.0,2,9,65000.0
228,Чиланзарский,1,35.0,1,4,29800.0
229,Мирзо-Улугбекский,4,86.0,3,5,63000.0
230,Мирзо-Улугбекский,3,100.0,1,5,80000.0
231,Олмазорский,5,110.0,5,5,63500.0
232,Мирабадский,3,75.0,6,9,110000.0
233,Олмазорский,3,70.0,1,5,62000.0
234,Шайхантахурский,3,70.0,4,5,36999.0
235,Яккасарайский,3,150.0,3,6,170000.0
236,Сергелийский,2,56.1,7,7,37000.0
237,Юнусабадский,4,83.0,3,5,54000.0
238,Учтепинский,2,49.0,4,4,23000.0
239,Чиланзарский,2,46.0,2,4,38500.0
240,Чиланзарский,2,46.0,4,4,36200.0
241,Чиланзарский,3,68.0,4,4,45000.0
242,Чиланзарский,3,65.0,1,5,45000.0
243,Чиланзарский,4,76.0,4,4,43000.0
244,Чиланзарский,1,42.0,2,5,26000.0
245,Чиланзарский,2,55.0,1,4,67000.0
246,Чиланзарский,4,76.0,5,5,45500.0
247,Чиланзарский,2,49.0,2,6,47000.0
248,Чиланзарский,4,80.0,2,4,70000.0
249,Чиланзарский,5,142.0,5,5,120000.0
250,Чиланзарский,3,60.0,3,4,44000.0
251,Мирзо-Улугбекский,3,72.0,4,5,47000.0
252,Мирабадский,4,115.0,6,9,84000.0
253,Яшнободский,4,100.0,2,3,77000.0
254,Мирзо-Улугбекский,2,63.0,5,5,35000.0
255,Мирзо-Улугбекский,3,66.0,3,5,56000.0
256,Мирзо-Улугбекский,3,70.0,5,5,46500.0
257,Мирзо-Улугбекский,3,62.0,5,5,35000.0
258,Чиланзарский,2,50.0,1,4,34000.0
259,Юнусабадский,3,78.0,4,4,56000.0
260,Мирабадский,2,62.0,2,9,63000.0
262,Яшнободский,3,63.0,4,4,40000.0
263,Мирзо-Улугбекский,4,91.0,1,5,75000.0
264,Шайхантахурский,3,81.0,6,9,54900.0
265,Мирзо-Улугбекский,4,86.0,3,4,42000.0
266,Мирзо-Улугбекский,2,54.0,3,5,54500.0
267,Мирабадский,3,90.0,3,5,105000.0
268,Мирзо-Улугбекский,2,40.0,2,5,37000.0
269,Юнусабадский,1,45.0,5,5,24000.0
270,Олмазорский,3,89.55,7,9,40000.0
271,Мирзо-Улугбекский,4,92.0,3,5,67000.0
272,Яккасарайский,3,100.0,3,4,1000.0
273,Мирзо-Улугбекский,4,95.0,1,4,77000.0
274,Мирзо-Улугбекский,4,102.0,4,9,65000.0
275,Олмазорский,2,65.0,5,9,31300.0
276,Мирзо-Улугбекский,2,62.0,5,5,33500.0
277,Олмазорский,2,56.0,3,5,38500.0
278,Мирзо-Улугбекский,2,59.0,2,8,41500.0
279,Чиланзарский,3,96.0,6,9,64500.0
280,Яшнободский,1,37.0,4,8,13075.0
281,Яккасарайский,2,70.0,8,9,48000.0
282,Мирабадский,2,78.0,4,8,77000.0
283,Яккасарайский,4,145.0,7,8,115000.0
284,Мирзо-Улугбекский,3,100.0,2,5,128000.0
285,Яшнободский,2,54.0,4,4,33000.0
286,Мирабадский,3,70.0,2,4,66000.0
287,Яккасарайский,5,116.0,3,5,80000.0
288,Чиланзарский,3,72.0,8,9,37700.0
289,Шайхантахурский,1,70.0,6,7,60000.0
290,Мирзо-Улугбекский,2,60.0,9,9,28500.0
291,Чиланзарский,2,52.0,4,5,38000.0
292,Яккасарайский,3,95.0,7,8,65000.0
293,Чиланзарский,2,44.0,1,4,38000.0
294,Чиланзарский,2,42.0,3,4,36500.0
295,Чиланзарский,2,43.0,2,4,36500.0
296,Чиланзарский,3,77.0,5,5,95000.0
297,Чиланзарский,1,24.0,3,4,20000.0
298,Чиланзарский,1,30.0,1,4,26000.0
299,Чиланзарский,2,41.0,1,4,36000.0
300,Юнусабадский,2,46.0,2,4,36000.0
301,Чиланзарский,2,42.0,2,4,36500.0
302,Юнусабадский,2,51.0,3,4,45000.0
303,Учтепинский,3,62.0,5,5,33500.0
304,Яшнободский,1,50.0,5,12,25000.0
305,Юнусабадский,4,107.0,6,9,75500.0
308,Олмазорский,1,38.0,6,9,27500.0
310,Яккасарайский,4,110.0,7,9,75000.0
311,Олмазорский,2,55.62,5,9,31000.0
312,Сергелийский,2,66.0,8,9,31507.0
313,Яккасарайский,2,53.0,3,5,54000.0
314,Олмазорский,4,119.0,2,5,110000.0
315,Мирзо-Улугбекский,2,56.0,1,4,35000.0
316,Мирзо-Улугбекский,3,68.0,4,4,24000.0
317,Мирабадский,3,125.0,7,12,129999.0
318,Яккасарайский,4,140.0,8,10,105000.0
319,Яккасарайский,4,141.0,7,7,95000.0
320,Учтепинский,4,74.0,4,4,47500.0
321,Мирзо-Улугбекский,2,63.0,5,5,34997.0
322,Учтепинский,2,41.0,4,4,32000.0
323,Мирабадский,2,52.0,3,5,37000.0
324,Чиланзарский,3,68.0,3,4,39000.0
325,Мирабадский,4,110.0,1,4,63500.0
326,Мирзо-Улугбекский,2,60.0,6,9,35500.0
327,Чиланзарский,1,54.0,9,9,35000.0
328,Мирзо-Улугбекский,2,60.0,5,5,35000.0
330,Чиланзарский,2,46.0,3,4,37500.0
331,Чиланзарский,4,94.0,4,5,73000.0
332,Чиланзарский,2,58.0,1,9,40000.0
333,Мирзо-Улугбекский,4,92.0,3,5,62000.0
334,Чиланзарский,3,70.0,3,4,55000.0
335,Чиланзарский,2,42.0,4,4,37400.0
336,Чиланзарский,2,42.0,4,4,35800.0
337,Чиланзарский,2,75.0,4,12,60000.0
338,Юнусабадский,3,72.0,1,9,100000.0
339,Учтепинский,3,85.0,7,9,52500.0
340,Юнусабадский,2,65.0,5,9,44000.0
341,Чиланзарский,2,65.0,9,9,56600.0
342,Чиланзарский,2,46.0,3,4,42000.0
343,Мирзо-Улугбекский,2,60.94,9,9,36542.0
346,Яшнободский,2,59.0,4,4,26500.0
347,Мирзо-Улугбекский,2,66.82,5,7,65000.0
348,Чиланзарский,5,98.0,5,9,70000.0
349,Мирзо-Улугбекский,2,48.0,1,4,34499.0
350,Учтепинский,3,92.0,8,9,46000.0
351,Мирабадский,4,128.0,1,7,87000.0
352,Мирабадский,2,56.0,2,5,37500.0
353,Яшнободский,1,45.0,1,5,36500.0
354,Чиланзарский,3,70.0,2,4,48000.0
355,Учтепинский,2,56.0,2,5,37500.0
356,Мирзо-Улугбекский,4,95.0,1,5,78000.0
357,Мирабадский,2,100.0,8,9,150000.0
358,Мирзо-Улугбекский,4,97.0,5,5,80000.0
359,Мирзо-Улугбекский,4,130.0,4,9,98500.0
360,Юнусабадский,3,67.0,4,4,42000.0
361,Мирзо-Улугбекский,4,95.0,5,5,50000.0
362,Юнусабадский,2,62.0,4,9,55000.0
363,Яккасарайский,3,75.0,10,16,70000.0
364,Яккасарайский,3,70.0,6,6,81999.0
365,Яшнободский,2,59.0,2,7,22534.0
366,Юнусабадский,2,55.0,1,9,43000.0
367,Юнусабадский,2,59.0,5,5,37000.0
368,Чиланзарский,2,44.0,4,4,29500.0
369,Шайхантахурский,2,30.0,3,3,38500.0
370,Яккасарайский,2,56.0,2,5,38000.0
371,Учтепинский,3,60.0,4,4,40000.0
372,Мирабадский,2,70.0,3,4,83000.0
373,Мирзо-Улугбекский,2,64.0,4,5,34500.0
374,Чиланзарский,3,100.0,1,12,57000.0
375,Чиланзарский,3,68.0,2,4,50000.0
376,Юнусабадский,4,115.0,3,9,64000.0
377,Мирзо-Улугбекский,2,60.0,4,4,34000.0
378,Мирзо-Улугбекский,5,100.0,4,4,48000.0
379,Мирзо-Улугбекский,2,50.0,2,4,32500.0
380,Мирабадский,3,105.0,7,9,125000.0
381,Мирзо-Улугбекский,2,70.0,4,7,87000.0
382,Мирзо-Улугбекский,5,137.0,3,7,105000.0
383,Яшнободский,1,36.0,4,9,26000.0
384,Яккасарайский,2,52.0,1,3,55000.0
385,Янгихаётский,2,47.14,4,4,28000.0
386,Чиланзарский,3,65.0,1,5,45000.0
387,Мирзо-Улугбекский,4,130.0,6,9,115000.0
388,Мирзо-Улугбекский,4,110.0,4,6,125000.0
389,Яккасарайский,2,61.0,2,9,53000.0
390,Мирабадский,2,40.0,1,1,23500.0
391,Яккасарайский,3,75.0,7,9,62000.0
392,Чиланзарский,2,54.0,4,4,37500.0
393,Юнусабадский,2,64.0,3,4,54962.0
394,Чиланзарский,1,30.0,3,4,31000.0
395,Чиланзарский,3,68.0,4,4,46500.0
396,Юнусабадский,2,50.0,1,4,38000.0
397,Мирабадский,2,44.0,6,9,60000.0
398,Мирзо-Улугбекский,1,35.0,2,2,20600.0
399,Яккасарайский,3,70.0,4,5,68500.0
400,Мирзо-Улугбекский,1,46.0,1,5,33000.0
401,Мирзо-Улугбекский,3,71.0,4,4,40200.0
402,Чиланзарский,1,50.0,5,5,21500.0
403,Яккасарайский,1,43.0,6,16,34000.0
404,Юнусабадский,2,60.0,9,9,32000.0
405,Юнусабадский,2,60.0,1,4,31999.0
406,Юнусабадский,2,57.0,4,4,32000.0
407,Юнусабадский,3,75.0,4,9,80000.0
408,Юнусабадский,2,62.0,4,4,33000.0
409,Яккасарайский,2,43.0,6,16,34000.0
410,Чиланзарский,2,48.0,1,4,34000.0
411,Юнусабадский,3,70.0,1,9,68000.0
412,Юнусабадский,2,54.0,2,4,33000.0
413,Юнусабадский,2,50.0,4,4,33500.0
414,Юнусабадский,2,50.0,2,4,33500.0
415,Чиланзарский,2,60.0,2,9,36000.0
416,Чиланзарский,2,60.0,1,9,41500.0
417,Чиланзарский,2,68.0,1,4,41000.0
418,Чиланзарский,2,50.0,1,5,34500.0
419,Чиланзарский,2,50.0,4,4,32500.0
420,Чиланзарский,2,60.0,4,5,38000.0
421,Юнусабадский,4,122.0,8,9,134000.0
422,Яккасарайский,3,88.0,5,5,45500.0
423,Яккасарайский,4,118.0,8,12,102711.0
424,Юнусабадский,2,55.0,1,3,42500.0
425,Юнусабадский,2,60.0,4,4,34000.0
426,Яккасарайский,2,47.0,4,4,47500.0
427,Юнусабадский,2,78.0,1,9,34000.0
428,Яккасарайский,2,62.0,8,9,42000.0
429,Юнусабадский,2,50.0,4,4,34000.0
430,Юнусабадский,2,60.0,4,4,34000.0
431,Юнусабадский,2,60.0,3,4,34500.0
432,Юнусабадский,2,78.0,1,9,33998.0
433,Юнусабадский,2,50.0,4,4,34000.0
434,Юнусабадский,2,60.0,4,4,34000.0
435,Яшнободский,3,75.0,5,9,64700.0
436,Юнусабадский,4,82.0,1,4,85500.0
437,Чиланзарский,1,36.0,1,5,25500.0
438,Чиланзарский,1,36.0,2,5,28500.0
439,Чиланзарский,1,42.0,4,4,28000.0
440,Чиланзарский,1,46.0,2,5,31500.0
441,Чиланзарский,2,50.0,1,5,36000.0
442,Яккасарайский,3,75.0,5,9,55000.0
443,Чиланзарский,3,75.0,9,9,60000.0
444,Юнусабадский,2,64.0,5,9,37000.0
445,Яккасарайский,2,60.0,4,9,47000.0
446,Юнусабадский,4,90.0,4,4,53000.0
447,Мирзо-Улугбекский,4,86.0,3,5,50000.0
448,Мирзо-Улугбекский,3,72.0,1,4,46000.0
449,Учтепинский,5,105.0,7,9,85000.0
450,Яккасарайский,1,34.0,2,4,29000.0
451,Мирзо-Улугбекский,1,28.0,1,4,21500.0
452,Чиланзарский,2,47.0,4,4,35500.0
453,Чиланзарский,2,42.0,1,4,39600.0
454,Чиланзарский,3,110.0,2,8,160000.0
455,Мирабадский,1,40.0,2,9,42000.0
456,Чиланзарский,2,50.0,4,4,40500.0
457,Чиланзарский,1,29.0,4,4,24500.0
458,Чиланзарский,2,42.0,4,4,34000.0
459,Чиланзарский,2,42.0,3,4,36999.0
460,Чиланзарский,3,65.0,4,5,30000.0
461,Юнусабадский,3,65.0,3,5,45000.0
462,Чиланзарский,2,45.0,3,5,26000.0
463,Мирзо-Улугбекский,4,90.0,3,4,133000.0
464,Мирзо-Улугбекский,4,86.0,4,5,60000.0
465,Мирзо-Улугбекский,2,40.0,4,4,34000.0
466,Чиланзарский,1,35.0,2,4,20000.0
467,Олмазорский,5,100.0,1,4,71000.0
468,Яккасарайский,2,78.0,4,8,100000.0
469,Яккасарайский,1,20.0,2,4,14500.0
470,Олмазорский,2,40.0,3,4,27500.0
471,Шайхантахурский,3,75.0,2,4,55000.0
472,Мирабадский,3,90.0,7,9,92000.0
473,Мирзо-Улугбекский,2,137.0,2,6,125000.0
474,Мирабадский,4,152.0,4,9,140000.0
475,Мирабадский,3,90.0,3,5,105000.0
476,Яккасарайский,2,55.0,3,4,41000.0
477,Мирзо-Улугбекский,3,90.0,2,9,51000.0
478,Чиланзарский,2,48.0,3,4,43000.0
479,Мирзо-Улугбекский,3,78.0,5,5,39000.0
480,Яккасарайский,1,38.0,2,5,25600.0
481,Чиланзарский,3,70.0,3,5,68000.0
482,Мирзо-Улугбекский,2,50.0,1,4,30000.0
483,Чиланзарский,2,55.0,4,4,39000.0
484,Чиланзарский,4,90.0,5,9,50000.0
485,Чиланзарский,1,37.0,1,4,25500.0
486,Мирзо-Улугбекский,3,80.0,3,4,120000.0
487,Чиланзарский,4,105.0,7,9,95000.0
488,Учтепинский,1,45.0,5,9,27000.0
489,Чиланзарский,2,42.0,1,4,36800.0
490,Мирзо-Улугбекский,2,40.0,1,3,26000.0
491,Чиланзарский,1,29.0,2,4,24200.0
492,Учтепинский,3,72.0,5,5,45000.0
493,Мирзо-Улугбекский,2,40.0,5,5,31500.0
494,Юнусабадский,3,78.0,4,4,55000.0
495,Чиланзарский,3,70.0,4,5,32000.0
496,Чиланзарский,3,74.0,5,9,74000.0
497,Чиланзарский,2,55.0,3,4,26000.0
498,Мирзо-Улугбекский,2,60.0,6,9,34000.0
499,Яккасарайский,1,33.0,2,4,22000.0
500,Мирзо-Улугбекский,2,60.0,1,5,46000.0
501,Мирзо-Улугбекский,2,58.0,2,9,42000.0
502,Чиланзарский,3,68.0,2,4,61000.0
503,Чиланзарский,3,67.0,2,4,47000.0
504,Мирзо-Улугбекский,2,77.0,4,4,65000.0
505,Олмазорский,2,50.0,2,4,30000.0
506,Янгихаётский,2,57.0,3,7,35000.0
507,Мирзо-Улугбекский,3,70.0,4,4,44998.0
508,Юнусабадский,2,60.0,7,9,35000.0
509,Юнусабадский,2,57.0,4,9,36000.0
510,Юнусабадский,2,57.0,4,9,35999.0
511,Юнусабадский,2,58.0,2,5,36500.0
512,Юнусабадский,2,68.0,9,9,36500.0
513,Мирзо-Улугбекский,3,70.0,5,5,47000.0
514,Мирзо-Улугбекский,3,97.0,9,9,55290.0
515,Мирзо-Улугбекский,2,67.0,9,9,38190.0
516,Мирзо-Улугбекский,2,56.0,3,5,32000.0
517,Учтепинский,2,42.0,4,5,28500.0
518,Мирзо-Улугбекский,2,60.0,8,9,40000.0
519,Яккасарайский,2,86.0,6,8,75000.0
520,Чиланзарский,1,30.0,2,4,20200.0
521,Чиланзарский,2,51.0,2,4,23200.0
522,Шайхантахурский,3,90.0,4,9,105000.0
523,Учтепинский,1,30.0,2,4,20200.0
524,Чиланзарский,2,51.0,3,5,24200.0
525,Чиланзарский,3,64.0,2,5,35200.0
526,Чиланзарский,2,51.0,2,4,25200.0
527,Чиланзарский,1,30.0,2,4,22200.0
528,Чиланзарский,2,51.0,3,4,26200.0
529,Юнусабадский,2,50.0,3,4,36500.0
530,Яшнободский,2,66.0,1,5,28000.0
531,Юнусабадский,2,56.0,4,4,37000.0
532,Юнусабадский,2,57.0,3,9,37000.0
533,Яшнободский,1,40.0,5,8,13700.0
534,Юнусабадский,2,71.0,4,5,38000.0
535,Юнусабадский,2,58.0,3,5,38000.0
536,Олмазорский,4,125.0,1,3,80000.0
537,Мирабадский,2,40.0,1,1,22500.0
538,Яккасарайский,2,60.0,4,4,45500.0
539,Мирзо-Улугбекский,4,92.0,4,5,52000.0
540,Юнусабадский,2,54.0,1,4,38500.0
541,Мирзо-Улугбекский,4,91.0,3,5,50000.0
542,Яшнободский,1,21.0,3,4,14700.0
543,Учтепинский,3,72.0,1,9,44300.0
544,Юнусабадский,2,48.0,3,4,38999.0
545,Шайхантахурский,3,104.0,3,9,60000.0
546,Яшнободский,2,65.0,6,9,53000.0
547,Яшнободский,2,65.0,5,5,64999.0
548,Мирзо-Улугбекский,2,62.0,5,5,36500.0
