location,district,rooms,size,level,max_levels,price,lat,lng
"город Ташкент, Олмазорский район, 15-й проезд Сагбан",Олмазорский,2,58,5,9,29500,41.3638683,69.2187028
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,70,2,7,56000,41.2829494,69.1968618
"город Ташкент, Яккасарайский район, 1-й проезд Мукими",Яккасарайский,2,68,6,9,45000,41.2788969,69.2489174
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,3,5,61500,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68,5,5,46500,41.2885649,69.2290098
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,4,12,51000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90,5,9,58400,41.260048,69.162198
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,60,5,5,47000,41.260048,69.162198
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,80,5,5,52500,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,74,3,5,50000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,2,48,2,5,41500,41.2847707,69.2288981
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,4,94,9,9,45000,41.260048,69.162198
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,65,4,9,47500,41.2814223,69.1760005
"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,85,3,4,52500,41.259418,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,1,42,5,5,26000,41.2814223,69.1760005
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,110,3,4,105000,41.2798237,69.2058023
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,3,70,4,4,42000,41.2729489,69.1916465
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,68,2,5,53500,41.2894422,69.2058023
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000,41.2673079,69.2415634
"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,20,3,3,12500,41.3080076,69.3078679
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110,4,7,107000,41.2991561,69.2785087
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46,3,4,35000,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,125,5,5,70000,41.2798237,69.2058023
"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,72,18,19,55000,41.3180348,69.2942247
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,64.67,7,9,39414,41.3292204,69.3473509
"город Ташкент, Юнусабадский район, Чинабад",Юнусабадский,2,70,4,9,60000,41.4153867,69.4292923
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,50,7,9,37000,41.3245206,69.2773236
"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,2,51,2,4,49000,41.319567,69.3246635
"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,1,22,1,2,18000,41.3576548,69.3675816
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,54,1,4,42500,41.2916859,69.2177228
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,30,3,5,34500,41.2916859,69.2177228
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,42,5,9,37000,41.2710841,69.1849411
"город Ташкент, Яккасарайский район, Тафаккур",Яккасарайский,3,70,2,4,70000,41.296195,69.262388
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,3,68,2,4,45800,41.3162377,69.2312263
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,4,24000,41.2948119,69.2087824
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,1,52,1,4,58000,41.2962523,69.1909015
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,72,4,4,55500,41.274633,69.200587
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,76,2,4,68000,41.274633,69.200587
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48,4,4,31000,41.2814223,69.1760005
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,66,3,9,47000,41.260048,69.162198
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,60,3,5,47000,41.2798237,69.2058023
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,37,1,4,41000,41.2857552,69.2117625
"город Ташкент, Мирзо-Улугбекский район, Муминова",Мирзо-Улугбекский,1,40,3,4,24000,41.3392308,69.3389519
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,61,1,4,55000,41.3700057,69.2892434
"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Чиланзарский,1,32,2,4,28500,41.2837307,69.2169777
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,65,4,4,42000,41.274633,69.200587
"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,3,66,2,5,67000,41.2902787,69.1839655
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,70,4,4,46500,41.2916859,69.2177228
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,66,4,4,50500,41.2773103,69.2152083
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,1,4,40000,41.2770171,69.1909015
"город Ташкент, Яшнободский район, 1-й проезд Иззат",Яшнободский,1,37,5,8,13071,41.2785565,69.3415733
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,69.65,4,9,45188,41.3292204,69.3473509
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,88,4,5,53000,41.2770171,69.1909015
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38,2,5,25600,41.2673079,69.2415634
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,61,6,9,52000,41.295316,69.275364
"город Ташкент, Мирзо-Улугбекский район, Навнихол",Мирзо-Улугбекский,2,45,3,7,44000,41.3462538,69.3323894
"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,69,2,9,40000,41.2202309,69.2251673
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,55.13,5,9,35226,41.3292204,69.3473509
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,67,4,4,54000,41.2894422,69.2058023
"город Ташкент, Шайхантахурский район, 1-й проезд Генерала Узакова",Шайхантахурский,1,38,5,5,22500,41.3268984,69.1952565
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,67,2,4,36500,41.3375577,69.3726789
"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,2,54,4,9,40000,41.2892951,69.2582738
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,2,58,1,9,35000,41.259418,69.1804708
"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,4,100,5,8,142000,41.296644,69.275878
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,4,90,4,5,52000,41.2885649,69.2290098
"город Ташкент, Олмазорский район, ул  ХУРРИЯТ 75",Олмазорский,3,91,3,3,85000,41.3645355,69.2281531
"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,4,111,7,8,110000,41.327974,69.2611824
"город Ташкент, Сергелийский район, Сергели 6 А дом 9 кв 53",Сергелийский,2,54,6,7,36000,41.2304214,69.2117625
"город Ташкент, Яшнободский район, жилой комплекс У.М. Шахидов 58-й городок",Яшнободский,3,69,5,5,52000,41.2994958,69.2400734
"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,5,107,5,5,50000,41.3709551,69.307123
"город Ташкент, Мирзо-Улугбекский район, Массив А. Югнакий",Мирзо-Улугбекский,3,80,2,5,55000,41.3539037,69.3851063
"город Ташкент, Юнусабадский район, Юнусабад 4 квартал",Юнусабадский,2,63,5,9,42000,41.3653679,69.2773236
"город Ташкент, Мирабадский район, Жемчуг",Мирабадский,3,74,5,16,69000,41.3021647,69.2687
"город Ташкент, Яшнободский район, 40 лет тузел-3 Франция",Яшнободский,2,58,5,5,28900,41.294821,69.3659745
"город Ташкент, Мирзо-Улугбекский район, Паркентский",Мирзо-Улугбекский,2,62,9,9,34000,41.3146381,69.3228615
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,3,107,2,8,85000,41.3466485,69.3328133
"город Ташкент, Олмазорский район, ТашПИ",Олмазорский,1,40.41,2,4,25000,41.3488728,69.1689332
"город Ташкент, Чиланзарский район, Мирзо Улуғбек метро",Чиланзарский,2,54,2,4,39000,41.2828581,69.2125566
"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,1,40,1,4,60000,41.3104865,69.2922234
"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,50,1,5,36500,41.3357758,69.34359
"город Ташкент, Яшнободский район, Мавлоно Риёзи",Яшнободский,3,75,5,9,42000,41.3123276,69.3159192
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,84,7,8,85000,41.3133669,69.3235746
"город Ташкент, Мирзо-Улугбекский район, Ирригатор",Мирзо-Улугбекский,3,117,2,5,125000,41.3203273,69.2993794
"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,3,70,5,5,37000,41.319567,69.3246635
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,1,47,2,9,42000,41.3209122,69.303727
"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,56,2,5,36000,41.271386,69.1961168
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,42,3,9,28000,41.274633,69.200587
"город Ташкент, Чиланзарский район",Чиланзарский,2,60,5,9,34000,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,32,2,5,28500,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,28500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,34500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,1,4,34500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,1,42,1,5,25500,41.2901628,69.1968618
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,43500,41.259418,69.1804708
"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,72,7,9,63000,41.3051824,69.2638823
"город Ташкент, Яшнободский район, Городок Авиастроителей-4",Яшнободский,3,80,1,4,39999,41.2922516,69.3419071
"город Ташкент, Чиланзарский район, Кошчинар",Чиланзарский,1,33,2,4,24500,41.2780874,69.2060703
"город Ташкент, Юнусабадский район, Улица Янги Юнусобод",Юнусабадский,2,61,3,5,41000,41.3693331,69.3101022
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,187,2,5,210000,41.3104865,69.2922234
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63,5,5,36000,41.3375577,69.3726789
"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,60,5,5,34000,41.3333453,69.2475235
"город Ташкент, Чиланзарский район, Торговый центр",Чиланзарский,1,29,2,4,23000,41.2830467,69.2222748
"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,63,5,5,36000,41.3318205,69.3644846
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,48,4,5,28500,41.2771751,69.1789807
"город Ташкент, Чиланзарский район, Корзинка",Чиланзарский,2,45,4,4,47000,41.262123,69.1647666
"город Ташкент, Олмазорский район, обводная  Нурафшон",Олмазорский,4,122,5,5,95000,41.3390184,69.2261213
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42,2,4,44000,41.3245206,69.2773236
"город Ташкент, Мирзо-Улугбекский район, Шастри",Мирзо-Улугбекский,2,50,1,4,45000,41.3137673,69.2910424
"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,5,100,4,4,48000,41.3550649,69.3585936
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,60,4,4,32000,41.314662,69.293391
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,50,2,4,47000,41.2911414,69.2601933
"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,78,5,9,70500,41.3200874,69.3013967
"город Ташкент, Яккасарайский район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Яккасарайский,4,164,5,6,170000,41.2765672,69.2460335
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60,3,5,30500,41.3427418,69.3875774
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,4,26000,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,3,70,4,4,37500,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Метро Мирзо Улугбек",Чиланзарский,1,35,1,5,26500,41.2829101,69.2116463
"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,47,2,4,32000,41.2948119,69.2087824
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,2,5,26500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,2,50,2,5,34500,41.2829494,69.1968618
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,52,2,4,36500,41.2857552,69.2117625
"город Ташкент, Яшнободский район, Оханграбо",Яшнободский,2,46,2,4,24500,41.2535107,69.3437258
"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,92,3,9,42500,41.2894422,69.2058023
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,70,1,4,46000,41.259418,69.1804708
"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,3,70,2,4,38500,41.3692799,69.2981832
"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,60,7,8,36000,41.31512,69.3234929
"город Ташкент, Мирзо-Улугбекский район, Буз 2",Мирзо-Улугбекский,2,55,3,5,35000,41.319567,69.3246635
"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,63,4,9,55500,41.31512,69.3234929
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89,4,12,81772,41.2818558,69.2552666
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,55,1,12,50533,41.2818558,69.2552666
"город Ташкент, Мирзо-Улугбекский район, Ул.Кора Ниязова",Мирзо-Улугбекский,3,100,2,6,119000,41.3292204,69.3473509
"город Ташкент, Мирзо-Улугбекский район, Ахмад Югнаки",Мирзо-Улугбекский,4,208,2,3,93000,41.3475495,69.3875774
"город Ташкент, Чиланзарский район, Учтепинский район массив Чиланзар 11-й квартал",Чиланзарский,1,35,1,4,23800,41.2770171,69.1909015
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44,3,4,32900,41.2948119,69.2087824
"город Ташкент, Янгихаётский район, Сергели 9а",Янгихаётский,2,61,3,7,36000,41.210633,69.2281531
"город Ташкент, Яшнободский район, Массив Риёзи",Яшнободский,4,100,2,9,65000,41.286283,69.3235123
"город Ташкент, Чиланзарский район, Чиланзар 8 квартал",Чиланзарский,1,35,1,4,29800,41.2894422,69.2058023
"город Ташкент, Мирзо-Улугбекский район, Газалкент",Мирзо-Улугбекский,4,86,3,5,63000,41.3351692,69.3602729
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,3,100,1,5,80000,41.314662,69.293391
"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Олмазорский,5,110,5,5,63500,41.3432641,69.2560774
"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Мирабадский,3,75,6,9,110000,41.3086111,69.2691667
